date,sentiment_score
2020-10-02,0.9892
2020-10-02,0.9854
2020-10-02,0.9979
2020-10-03,0.9977
2020-10-03,0.9948
2020-10-05,0.9874
2020-10-05,0.9794
2020-10-05,0.6597
2020-10-06,0.9472
2020-10-06,0.9828
2020-10-06,-0.3182
2020-10-08,-0.8955
2020-10-09,0.9847
2020-10-12,0.9846
2020-10-16,0.9782
2020-10-18,0.979
2020-10-19,0.9785
2020-10-19,-0.9493
2020-10-20,-0.9921
2020-10-20,-0.1531
2020-10-21,0.9923
2020-10-21,-0.7603
2020-10-22,-0.5563
2020-10-24,0.9853
2020-10-24,0.9961
2020-10-25,-0.7603
2020-10-25,0.9912
2020-11-03,0.9916
2020-11-05,0.9857
2020-11-06,0.7184
2020-11-08,0.9956
2020-11-08,0.9974
2020-11-09,-0.8314
2020-11-14,0.9779
2020-11-19,0.9951
2020-11-19,0.9964
2020-11-20,0.743
2020-11-20,-0.9015
2020-11-21,0.9989
2020-11-21,0.9988
2020-11-25,-0.011
2020-11-27,-0.9539
2020-11-29,0.9633
2020-12-01,0.9958
2020-12-01,0.5859
2020-12-01,0.003
2020-12-01,-0.6776
2020-12-02,0.9979
2020-12-02,0.9565
2020-12-02,-0.9818
2020-12-02,0.9896
2020-12-04,0.0046
2020-12-05,0.9925
2020-12-08,0.9332
2020-12-09,0.8537
2020-12-15,0.9892
2020-12-17,0.9927
2020-12-19,0.9758
2020-12-23,0.9932
2020-12-23,0.9932
2020-12-26,-0.8747
2020-12-27,0.9792
2020-12-29,-0.9206
2020-12-30,0.9792
2021-01-04,0.624
2021-01-11,0.9509
2021-01-18,0.995
2021-01-21,-0.9983
2021-01-28,-0.9486
2021-02-05,0.9932
2021-02-06,0.9988
2021-02-08,0.9967
2021-02-09,0.9936
2021-02-10,0.9961
2021-02-12,0.8509
2021-02-14,0.9719
2021-02-15,0.9992
2021-02-16,0.9643
2021-02-17,0.7059
2021-02-19,0.9142
2021-02-21,0.2023
2021-02-22,-0.296
2021-02-25,0.705
2021-03-12,0.9011
2021-03-12,0.9913
2021-03-16,0.9153
2021-03-16,0.9975
2021-03-17,0.9153
2021-03-18,0.9468
2021-03-25,0.9901
2021-04-09,0.9701
2021-04-15,0.9944
2021-04-16,0.9954
2021-04-17,0.9954
2021-04-17,-0.973
2021-04-17,0.9936
2021-04-19,0.997
2021-04-20,0.9951
2021-04-21,0.6372
2021-04-21,-0.5719
2021-04-22,-0.9883
2021-04-22,0.9021
2021-04-23,0.6705
2021-04-24,0.957
2021-04-26,0.9973
2021-04-27,0.9392
2021-04-27,-0.9782
2021-04-27,-0.4868
2021-04-28,0.9985
2021-05-02,0.9969
2021-05-06,0.9258
2021-05-06,-0.836
2021-05-07,-0.743
2021-05-07,-0.8735
2021-05-08,0.9721
2021-05-10,-0.5719
2021-05-13,0.9958
2021-05-14,0.9966
2021-05-15,0.9818
2021-05-16,-0.974
2021-05-18,-0.9281
2021-05-18,0.8435
2021-05-19,0.991
2021-05-21,-0.9608
2021-05-25,0.9985
2021-05-27,0.9933
2021-05-27,0.99
2021-05-27,-0.9226
2021-05-27,-0.9658
2021-05-28,0.9777
2021-05-28,0.995
2021-05-28,0.9972
2021-05-29,0.9884
2021-05-30,0.9711
2021-05-31,0.9705
2021-05-31,0.9982
2021-05-31,0.9768
2021-06-01,-0.4767
2021-06-01,0.976
2021-06-02,0.9978
2021-06-02,0.9978
2021-06-04,-0.9849
2021-06-05,0.9606
2021-06-05,0.9946
2021-06-06,0.9763
2021-06-07,-0.9951
2021-06-07,-0.0772
2022-10-09,0.9905
2022-10-18,-0.9869
2022-10-18,0.997
2022-10-23,-0.9776
2022-10-24,-0.7935
2022-10-26,0.5994
2022-10-26,0.9582
2022-10-27,0.9843
2022-10-29,0.7469
2022-11-08,0.9325
2022-11-10,0.9934
2022-11-14,0.9826
2022-11-15,0.9929
2022-11-30,0.9581
2022-12-02,-0.9789
2022-12-04,0.9665
2022-12-08,0.9748
2022-12-10,0.9897
2022-12-15,0.9099
2022-12-26,-0.907
2023-01-10,-0.9579
2023-01-20,-0.7154
2023-01-20,0.9814
2023-01-23,0.9717
2023-01-27,0.9877
2023-02-02,0.6743
2023-02-04,-0.3927
2023-02-08,0.9983
2023-02-09,0.9962
2023-02-10,0.9978
2023-02-16,0.9921
2023-02-17,0.9917
2023-02-18,0.0516
2023-02-18,0.9973
2023-02-20,0.998
2023-02-27,-0.9452
2023-03-01,0.9966
2023-03-19,0.9874
2023-03-20,-0.973
2023-03-20,0.0516
2023-03-22,0.995
2023-03-24,0.9568
2023-03-27,0.9908
2023-03-30,0.1832
2023-03-31,0.9985
2023-04-03,-0.9679
2023-04-03,-0.9012
2023-04-04,-0.803
2023-04-08,0.8268
2023-04-10,0.9683
2023-04-14,0.9956
2023-04-21,0.9892
2023-04-26,-0.7561
2023-04-28,0.9922
2023-05-02,-0.9924
2023-05-04,-0.4438
2023-05-08,0.9926
2023-05-09,-0.5941
2023-05-10,-0.4939
2023-05-21,0.9811
2023-05-23,-0.9393
2023-05-24,0.8583
2023-05-25,0.9616
2023-06-05,0.9978
2023-06-06,-0.8834
2023-06-08,0.618
2023-06-13,0.9123
2023-06-16,0.989
2023-06-20,-0.9628
2023-06-22,0.9613
2023-06-23,0.9987
2023-06-23,0.9858
2023-06-25,0.942
2023-06-26,0.9739
2023-06-27,0.9377
2023-07-04,-0.7134
2023-07-06,0.9979
2023-07-07,0.9979
2023-07-08,0.9789
2023-07-10,-0.8915
2023-07-13,0.9893
2023-07-13,0.7845
2023-07-15,0.9732
2023-07-18,-0.9672
2023-07-18,0.9636
